,sml_detection_time,sml_pivot_time,sml_pivot_value,sml_pivot_type
0,2025-02-17 00:11:00+00:00,2025-02-17 00:08:00+00:00,152.2,0.0
1,2025-02-17 00:15:00+00:00,2025-02-17 00:11:00+00:00,152.26,1.0
2,2025-02-17 00:18:00+00:00,2025-02-17 00:17:00+00:00,152.214,0.0
3,2025-02-17 00:23:00+00:00,2025-02-17 00:18:00+00:00,152.231,1.0
4,2025-02-17 00:25:00+00:00,2025-02-17 00:23:00+00:00,152.221,0.0
5,2025-02-17 00:29:00+00:00,2025-02-17 00:26:00+00:00,152.239,1.0
6,2025-02-17 00:38:00+00:00,2025-02-17 00:33:00+00:00,152.215,0.0
7,2025-02-17 00:47:00+00:00,2025-02-17 00:38:00+00:00,152.246,1.0
8,2025-02-17 00:50:00+00:00,2025-02-17 00:47:00+00:00,152.222,0.0
9,2025-02-17 01:04:00+00:00,2025-02-17 01:01:00+00:00,152.328,1.0
10,2025-02-17 01:22:00+00:00,2025-02-17 01:20:00+00:00,152.179,0.0
11,2025-02-17 01:39:00+00:00,2025-02-17 01:35:00+00:00,152.384,1.0
12,2025-02-17 01:48:00+00:00,2025-02-17 01:44:00+00:00,152.32,0.0
13,2025-02-17 01:50:00+00:00,2025-02-17 01:48:00+00:00,152.39,1.0
14,2025-02-17 01:55:00+00:00,2025-02-17 01:51:00+00:00,152.039,0.0
15,2025-02-17 01:57:00+00:00,2025-02-17 01:55:00+00:00,152.107,1.0
16,2025-02-17 02:05:00+00:00,2025-02-17 02:02:00+00:00,151.905,0.0
17,2025-02-17 02:09:00+00:00,2025-02-17 02:06:00+00:00,152.028,1.0
18,2025-02-17 02:11:00+00:00,2025-02-17 02:10:00+00:00,151.907,0.0
19,2025-02-17 02:23:00+00:00,2025-02-17 02:19:00+00:00,152.113,1.0
20,2025-02-17 02:43:00+00:00,2025-02-17 02:40:00+00:00,151.87,0.0
21,2025-02-17 02:48:00+00:00,2025-02-17 02:45:00+00:00,151.951,1.0
22,2025-02-17 02:52:00+00:00,2025-02-17 02:49:00+00:00,151.838,0.0
23,2025-02-17 02:55:00+00:00,2025-02-17 02:53:00+00:00,151.931,1.0
24,2025-02-17 02:59:00+00:00,2025-02-17 02:55:00+00:00,151.788,0.0
25,2025-02-17 03:02:00+00:00,2025-02-17 02:59:00+00:00,151.891,1.0
26,2025-02-17 03:06:00+00:00,2025-02-17 03:04:00+00:00,151.762,0.0
27,2025-02-17 03:09:00+00:00,2025-02-17 03:08:00+00:00,151.828,1.0
28,2025-02-17 03:13:00+00:00,2025-02-17 03:11:00+00:00,151.749,0.0
29,2025-02-17 03:25:00+00:00,2025-02-17 03:24:00+00:00,151.892,1.0
30,2025-02-17 03:33:00+00:00,2025-02-17 03:30:00+00:00,151.763,0.0
31,2025-02-17 03:37:00+00:00,2025-02-17 03:36:00+00:00,151.838,1.0
32,2025-02-17 03:41:00+00:00,2025-02-17 03:39:00+00:00,151.767,0.0
33,2025-02-17 03:44:00+00:00,2025-02-17 03:41:00+00:00,151.807,1.0
34,2025-02-17 03:46:00+00:00,2025-02-17 03:45:00+00:00,151.738,0.0
35,2025-02-17 03:57:00+00:00,2025-02-17 03:54:00+00:00,151.9,1.0
36,2025-02-17 03:59:00+00:00,2025-02-17 03:57:00+00:00,151.848,0.0
37,2025-02-17 04:02:00+00:00,2025-02-17 04:00:00+00:00,151.937,1.0
38,2025-02-17 04:12:00+00:00,2025-02-17 04:10:00+00:00,151.773,0.0
39,2025-02-17 04:14:00+00:00,2025-02-17 04:12:00+00:00,151.834,1.0
40,2025-02-17 04:17:00+00:00,2025-02-17 04:14:00+00:00,151.775,0.0
41,2025-02-17 04:19:00+00:00,2025-02-17 04:18:00+00:00,151.83,1.0
42,2025-02-17 04:22:00+00:00,2025-02-17 04:19:00+00:00,151.779,0.0
43,2025-02-17 04:25:00+00:00,2025-02-17 04:23:00+00:00,151.832,1.0
44,2025-02-17 04:47:00+00:00,2025-02-17 04:44:00+00:00,151.591,0.0
45,2025-02-17 04:49:00+00:00,2025-02-17 04:47:00+00:00,151.65,1.0
46,2025-02-17 04:55:00+00:00,2025-02-17 04:54:00+00:00,151.521,0.0
47,2025-02-17 04:57:00+00:00,2025-02-17 04:55:00+00:00,151.58,1.0
48,2025-02-17 05:00:00+00:00,2025-02-17 04:58:00+00:00,151.507,0.0
49,2025-02-17 05:04:00+00:00,2025-02-17 05:02:00+00:00,151.584,1.0
50,2025-02-17 05:10:00+00:00,2025-02-17 05:07:00+00:00,151.531,0.0
51,2025-02-17 05:26:00+00:00,2025-02-17 05:24:00+00:00,151.664,1.0
52,2025-02-17 05:29:00+00:00,2025-02-17 05:27:00+00:00,151.605,0.0
53,2025-02-17 05:32:00+00:00,2025-02-17 05:31:00+00:00,151.654,1.0
54,2025-02-17 05:35:00+00:00,2025-02-17 05:32:00+00:00,151.619,0.0
55,2025-02-17 05:37:00+00:00,2025-02-17 05:35:00+00:00,151.655,1.0
56,2025-02-17 05:41:00+00:00,2025-02-17 05:37:00+00:00,151.62,0.0
57,2025-02-17 05:43:00+00:00,2025-02-17 05:41:00+00:00,151.661,1.0
58,2025-02-17 05:49:00+00:00,2025-02-17 05:46:00+00:00,151.599,0.0
59,2025-02-17 05:53:00+00:00,2025-02-17 05:52:00+00:00,151.644,1.0
60,2025-02-17 06:01:00+00:00,2025-02-17 05:56:00+00:00,151.588,0.0
61,2025-02-17 06:15:00+00:00,2025-02-17 06:11:00+00:00,151.713,1.0
62,2025-02-17 06:18:00+00:00,2025-02-17 06:16:00+00:00,151.69,0.0
63,2025-02-17 06:28:00+00:00,2025-02-17 06:25:00+00:00,151.778,1.0
64,2025-02-17 06:33:00+00:00,2025-02-17 06:31:00+00:00,151.714,0.0
65,2025-02-17 06:37:00+00:00,2025-02-17 06:33:00+00:00,151.764,1.0
66,2025-02-17 06:49:00+00:00,2025-02-17 06:46:00+00:00,151.642,0.0
67,2025-02-17 07:00:00+00:00,2025-02-17 06:55:00+00:00,151.719,1.0
68,2025-02-17 07:13:00+00:00,2025-02-17 07:12:00+00:00,151.533,0.0
69,2025-02-17 07:17:00+00:00,2025-02-17 07:14:00+00:00,151.615,1.0
70,2025-02-17 07:21:00+00:00,2025-02-17 07:17:00+00:00,151.554,0.0
71,2025-02-17 07:29:00+00:00,2025-02-17 07:26:00+00:00,151.64,1.0
72,2025-02-17 07:31:00+00:00,2025-02-17 07:29:00+00:00,151.578,0.0
73,2025-02-17 07:37:00+00:00,2025-02-17 07:37:00+00:00,151.703,1.0
74,2025-02-17 07:41:00+00:00,2025-02-17 07:38:00+00:00,151.576,0.0
75,2025-02-17 07:44:00+00:00,2025-02-17 07:43:00+00:00,151.674,1.0
76,2025-02-17 07:50:00+00:00,2025-02-17 07:47:00+00:00,151.536,0.0
77,2025-02-17 07:55:00+00:00,2025-02-17 07:51:00+00:00,151.617,1.0
78,2025-02-17 08:01:00+00:00,2025-02-17 07:58:00+00:00,151.474,0.0
79,2025-02-17 08:05:00+00:00,2025-02-17 08:03:00+00:00,151.556,1.0
80,2025-02-17 08:09:00+00:00,2025-02-17 08:07:00+00:00,151.49,0.0
81,2025-02-17 08:14:00+00:00,2025-02-17 08:13:00+00:00,151.618,1.0
82,2025-02-17 08:19:00+00:00,2025-02-17 08:18:00+00:00,151.538,0.0
83,2025-02-17 08:31:00+00:00,2025-02-17 08:27:00+00:00,151.753,1.0
84,2025-02-17 08:33:00+00:00,2025-02-17 08:31:00+00:00,151.675,0.0
85,2025-02-17 08:37:00+00:00,2025-02-17 08:36:00+00:00,151.77,1.0
86,2025-02-17 08:41:00+00:00,2025-02-17 08:38:00+00:00,151.716,0.0
87,2025-02-17 08:44:00+00:00,2025-02-17 08:42:00+00:00,151.766,1.0
88,2025-02-17 08:49:00+00:00,2025-02-17 08:44:00+00:00,151.699,0.0
89,2025-02-17 08:54:00+00:00,2025-02-17 08:53:00+00:00,151.786,1.0
90,2025-02-17 08:56:00+00:00,2025-02-17 08:54:00+00:00,151.726,0.0
91,2025-02-17 08:59:00+00:00,2025-02-17 08:56:00+00:00,151.791,1.0
92,2025-02-17 09:14:00+00:00,2025-02-17 09:12:00+00:00,151.6,0.0
93,2025-02-17 09:20:00+00:00,2025-02-17 09:18:00+00:00,151.667,1.0
94,2025-02-17 09:22:00+00:00,2025-02-17 09:21:00+00:00,151.608,0.0
95,2025-02-17 09:26:00+00:00,2025-02-17 09:22:00+00:00,151.714,1.0
96,2025-02-17 09:30:00+00:00,2025-02-17 09:29:00+00:00,151.634,0.0
97,2025-02-17 09:38:00+00:00,2025-02-17 09:35:00+00:00,151.766,1.0
98,2025-02-17 09:42:00+00:00,2025-02-17 09:38:00+00:00,151.7,0.0
99,2025-02-17 09:55:00+00:00,2025-02-17 09:52:00+00:00,151.894,1.0
100,2025-02-17 10:00:00+00:00,2025-02-17 09:58:00+00:00,151.838,0.0
101,2025-02-17 10:06:00+00:00,2025-02-17 10:03:00+00:00,151.943,1.0
102,2025-02-17 10:13:00+00:00,2025-02-17 10:08:00+00:00,151.85,0.0
103,2025-02-17 10:17:00+00:00,2025-02-17 10:14:00+00:00,151.941,1.0
104,2025-02-17 10:23:00+00:00,2025-02-17 10:20:00+00:00,151.839,0.0
105,2025-02-17 10:25:00+00:00,2025-02-17 10:25:00+00:00,151.875,1.0
106,2025-02-17 10:27:00+00:00,2025-02-17 10:25:00+00:00,151.835,0.0
107,2025-02-17 10:35:00+00:00,2025-02-17 10:32:00+00:00,151.933,1.0
108,2025-02-17 10:39:00+00:00,2025-02-17 10:36:00+00:00,151.848,0.0
109,2025-02-17 10:42:00+00:00,2025-02-17 10:40:00+00:00,151.919,1.0
110,2025-02-17 10:53:00+00:00,2025-02-17 10:50:00+00:00,151.748,0.0
111,2025-02-17 10:57:00+00:00,2025-02-17 10:55:00+00:00,151.829,1.0
112,2025-02-17 11:04:00+00:00,2025-02-17 11:00:00+00:00,151.721,0.0
113,2025-02-17 11:15:00+00:00,2025-02-17 11:12:00+00:00,151.808,1.0
114,2025-02-17 11:23:00+00:00,2025-02-17 11:22:00+00:00,151.754,0.0
115,2025-02-17 11:26:00+00:00,2025-02-17 11:24:00+00:00,151.813,1.0
116,2025-02-17 11:37:00+00:00,2025-02-17 11:36:00+00:00,151.731,0.0
117,2025-02-17 11:45:00+00:00,2025-02-17 11:41:00+00:00,151.85,1.0
118,2025-02-17 11:55:00+00:00,2025-02-17 11:53:00+00:00,151.744,0.0
119,2025-02-17 12:05:00+00:00,2025-02-17 12:02:00+00:00,151.841,1.0
120,2025-02-17 12:21:00+00:00,2025-02-17 12:18:00+00:00,151.715,0.0
121,2025-02-17 12:24:00+00:00,2025-02-17 12:21:00+00:00,151.759,1.0
122,2025-02-17 12:29:00+00:00,2025-02-17 12:26:00+00:00,151.713,0.0
123,2025-02-17 12:36:00+00:00,2025-02-17 12:35:00+00:00,151.78,1.0
124,2025-02-17 12:57:00+00:00,2025-02-17 12:54:00+00:00,151.595,0.0
125,2025-02-17 13:00:00+00:00,2025-02-17 12:58:00+00:00,151.641,1.0
126,2025-02-17 13:04:00+00:00,2025-02-17 13:00:00+00:00,151.602,0.0
127,2025-02-17 13:15:00+00:00,2025-02-17 13:13:00+00:00,151.698,1.0
128,2025-02-17 13:28:00+00:00,2025-02-17 13:27:00+00:00,151.633,0.0
129,2025-02-17 13:33:00+00:00,2025-02-17 13:29:00+00:00,151.702,1.0
130,2025-02-17 13:35:00+00:00,2025-02-17 13:33:00+00:00,151.666,0.0
131,2025-02-17 13:39:00+00:00,2025-02-17 13:36:00+00:00,151.716,1.0
132,2025-02-17 13:46:00+00:00,2025-02-17 13:42:00+00:00,151.597,0.0
133,2025-02-17 13:49:00+00:00,2025-02-17 13:46:00+00:00,151.626,1.0
134,2025-02-17 14:03:00+00:00,2025-02-17 14:01:00+00:00,151.472,0.0
135,2025-02-17 14:07:00+00:00,2025-02-17 14:05:00+00:00,151.539,1.0
136,2025-02-17 14:12:00+00:00,2025-02-17 14:12:00+00:00,151.492,0.0
137,2025-02-17 14:14:00+00:00,2025-02-17 14:13:00+00:00,151.521,1.0
138,2025-02-17 14:18:00+00:00,2025-02-17 14:14:00+00:00,151.468,0.0
139,2025-02-17 14:24:00+00:00,2025-02-17 14:21:00+00:00,151.534,1.0
140,2025-02-17 14:31:00+00:00,2025-02-17 14:28:00+00:00,151.419,0.0
141,2025-02-17 14:39:00+00:00,2025-02-17 14:37:00+00:00,151.468,1.0
142,2025-02-17 14:43:00+00:00,2025-02-17 14:39:00+00:00,151.397,0.0
143,2025-02-17 14:47:00+00:00,2025-02-17 14:43:00+00:00,151.494,1.0
144,2025-02-17 14:52:00+00:00,2025-02-17 14:51:00+00:00,151.42,0.0
145,2025-02-17 15:05:00+00:00,2025-02-17 15:00:00+00:00,151.522,1.0
146,2025-02-17 15:19:00+00:00,2025-02-17 15:15:00+00:00,151.459,0.0
147,2025-02-17 15:25:00+00:00,2025-02-17 15:23:00+00:00,151.528,1.0
148,2025-02-17 15:30:00+00:00,2025-02-17 15:28:00+00:00,151.452,0.0
149,2025-02-17 15:35:00+00:00,2025-02-17 15:32:00+00:00,151.513,1.0
150,2025-02-17 15:39:00+00:00,2025-02-17 15:37:00+00:00,151.44,0.0
151,2025-02-17 15:42:00+00:00,2025-02-17 15:40:00+00:00,151.489,1.0
152,2025-02-17 15:46:00+00:00,2025-02-17 15:43:00+00:00,151.443,0.0
153,2025-02-17 15:57:00+00:00,2025-02-17 15:55:00+00:00,151.49,1.0
154,2025-02-17 16:10:00+00:00,2025-02-17 16:09:00+00:00,151.421,0.0
155,2025-02-17 16:18:00+00:00,2025-02-17 16:13:00+00:00,151.467,1.0
156,2025-02-17 16:21:00+00:00,2025-02-17 16:19:00+00:00,151.442,0.0
157,2025-02-17 16:27:00+00:00,2025-02-17 16:23:00+00:00,151.491,1.0
158,2025-02-17 16:31:00+00:00,2025-02-17 16:29:00+00:00,151.468,0.0
159,2025-02-17 16:34:00+00:00,2025-02-17 16:31:00+00:00,151.5,1.0
160,2025-02-17 16:46:00+00:00,2025-02-17 16:41:00+00:00,151.43,0.0
161,2025-02-17 16:51:00+00:00,2025-02-17 16:47:00+00:00,151.476,1.0
162,2025-02-17 16:53:00+00:00,2025-02-17 16:51:00+00:00,151.442,0.0
163,2025-02-17 16:57:00+00:00,2025-02-17 16:55:00+00:00,151.483,1.0
164,2025-02-17 17:11:00+00:00,2025-02-17 17:02:00+00:00,151.427,0.0
165,2025-02-17 17:13:00+00:00,2025-02-17 17:12:00+00:00,151.461,1.0
166,2025-02-17 17:19:00+00:00,2025-02-17 17:13:00+00:00,151.428,0.0
167,2025-02-17 17:26:00+00:00,2025-02-17 17:24:00+00:00,151.461,1.0
168,2025-02-17 17:29:00+00:00,2025-02-17 17:26:00+00:00,151.439,0.0
169,2025-02-17 17:31:00+00:00,2025-02-17 17:30:00+00:00,151.463,1.0
170,2025-02-17 17:37:00+00:00,2025-02-17 17:31:00+00:00,151.44,0.0
171,2025-02-17 17:42:00+00:00,2025-02-17 17:41:00+00:00,151.471,1.0
172,2025-02-17 17:45:00+00:00,2025-02-17 17:42:00+00:00,151.45,0.0
173,2025-02-17 17:48:00+00:00,2025-02-17 17:45:00+00:00,151.473,1.0
174,2025-02-17 18:01:00+00:00,2025-02-17 17:57:00+00:00,151.337,0.0
175,2025-02-17 18:05:00+00:00,2025-02-17 18:04:00+00:00,151.399,1.0
176,2025-02-17 18:09:00+00:00,2025-02-17 18:06:00+00:00,151.341,0.0
177,2025-02-17 18:24:00+00:00,2025-02-17 18:20:00+00:00,151.435,1.0
178,2025-02-17 18:28:00+00:00,2025-02-17 18:25:00+00:00,151.403,0.0
179,2025-02-17 18:30:00+00:00,2025-02-17 18:28:00+00:00,151.439,1.0
180,2025-02-17 18:35:00+00:00,2025-02-17 18:32:00+00:00,151.395,0.0
181,2025-02-17 18:38:00+00:00,2025-02-17 18:35:00+00:00,151.422,1.0
182,2025-02-17 18:42:00+00:00,2025-02-17 18:38:00+00:00,151.383,0.0
183,2025-02-17 18:52:00+00:00,2025-02-17 18:48:00+00:00,151.445,1.0
184,2025-02-17 19:00:00+00:00,2025-02-17 18:52:00+00:00,151.419,0.0
185,2025-02-17 19:05:00+00:00,2025-02-17 19:00:00+00:00,151.442,1.0
186,2025-02-17 19:09:00+00:00,2025-02-17 19:05:00+00:00,151.431,0.0
187,2025-02-17 19:12:00+00:00,2025-02-17 19:09:00+00:00,151.445,1.0
188,2025-02-17 19:28:00+00:00,2025-02-17 19:24:00+00:00,151.37,0.0
189,2025-02-17 19:48:00+00:00,2025-02-17 19:43:00+00:00,151.451,1.0
190,2025-02-17 20:02:00+00:00,2025-02-17 19:59:00+00:00,151.367,0.0
191,2025-02-17 20:17:00+00:00,2025-02-17 20:14:00+00:00,151.422,1.0
192,2025-02-17 20:33:00+00:00,2025-02-17 20:29:00+00:00,151.391,0.0
193,2025-02-17 20:38:00+00:00,2025-02-17 20:35:00+00:00,151.411,1.0
194,2025-02-17 21:04:00+00:00,2025-02-17 21:00:00+00:00,151.363,0.0
195,2025-02-17 21:15:00+00:00,2025-02-17 21:10:00+00:00,151.394,1.0
196,2025-02-17 21:25:00+00:00,2025-02-17 21:16:00+00:00,151.367,0.0
197,2025-02-17 21:53:00+00:00,2025-02-17 21:46:00+00:00,151.402,1.0
198,2025-02-17 21:57:00+00:00,2025-02-17 21:55:00+00:00,151.387,0.0
199,2025-02-17 22:23:00+00:00,2025-02-17 22:20:00+00:00,151.412,1.0
200,2025-02-17 22:26:00+00:00,2025-02-17 22:23:00+00:00,151.392,0.0
201,2025-02-17 22:33:00+00:00,2025-02-17 22:31:00+00:00,151.404,1.0
202,2025-02-17 22:41:00+00:00,2025-02-17 22:39:00+00:00,151.378,0.0
203,2025-02-17 22:54:00+00:00,2025-02-17 22:50:00+00:00,151.427,1.0
204,2025-02-17 23:00:00+00:00,2025-02-17 22:58:00+00:00,151.383,0.0
205,2025-02-17 23:11:00+00:00,2025-02-17 23:09:00+00:00,151.465,1.0
206,2025-02-17 23:18:00+00:00,2025-02-17 23:17:00+00:00,151.438,0.0
207,2025-02-17 23:24:00+00:00,2025-02-17 23:20:00+00:00,151.467,1.0
208,2025-02-17 23:27:00+00:00,2025-02-17 23:24:00+00:00,151.456,0.0
209,2025-02-17 23:40:00+00:00,2025-02-17 23:31:00+00:00,151.479,1.0
210,2025-02-17 23:44:00+00:00,2025-02-17 23:40:00+00:00,151.461,0.0
211,2025-02-17 23:59:00+00:00,2025-02-17 23:56:00+00:00,151.523,1.0
212,2025-02-18 00:05:00+00:00,2025-02-18 00:00:00+00:00,151.432,0.0
213,2025-02-18 00:17:00+00:00,2025-02-18 00:14:00+00:00,151.456,1.0
214,2025-02-18 00:30:00+00:00,2025-02-18 00:20:00+00:00,151.43,0.0
215,2025-02-18 00:40:00+00:00,2025-02-18 00:40:00+00:00,151.478,1.0
216,2025-02-18 00:51:00+00:00,2025-02-18 00:40:00+00:00,151.448,0.0
217,2025-02-18 01:00:00+00:00,2025-02-18 01:00:00+00:00,151.526,1.0
218,2025-02-18 01:04:00+00:00,2025-02-18 01:01:00+00:00,151.402,0.0
219,2025-02-18 01:17:00+00:00,2025-02-18 01:13:00+00:00,151.623,1.0
220,2025-02-18 01:22:00+00:00,2025-02-18 01:22:00+00:00,151.56,0.0
221,2025-02-18 01:24:00+00:00,2025-02-18 01:22:00+00:00,151.588,1.0
222,2025-02-18 01:44:00+00:00,2025-02-18 01:42:00+00:00,151.233,0.0
223,2025-02-18 02:11:00+00:00,2025-02-18 02:11:00+00:00,151.651,1.0
224,2025-02-18 02:13:00+00:00,2025-02-18 02:13:00+00:00,151.554,0.0
225,2025-02-18 02:19:00+00:00,2025-02-18 02:18:00+00:00,151.63,1.0
226,2025-02-18 02:27:00+00:00,2025-02-18 02:25:00+00:00,151.515,0.0
227,2025-02-18 02:39:00+00:00,2025-02-18 02:39:00+00:00,151.711,1.0
228,2025-02-18 02:44:00+00:00,2025-02-18 02:41:00+00:00,151.625,0.0
229,2025-02-18 02:46:00+00:00,2025-02-18 02:45:00+00:00,151.704,1.0
230,2025-02-18 02:50:00+00:00,2025-02-18 02:46:00+00:00,151.638,0.0
231,2025-02-18 02:52:00+00:00,2025-02-18 02:50:00+00:00,151.717,1.0
232,2025-02-18 02:57:00+00:00,2025-02-18 02:53:00+00:00,151.591,0.0
233,2025-02-18 03:03:00+00:00,2025-02-18 03:00:00+00:00,151.721,1.0
234,2025-02-18 03:07:00+00:00,2025-02-18 03:05:00+00:00,151.597,0.0
235,2025-02-18 03:11:00+00:00,2025-02-18 03:08:00+00:00,151.733,1.0
236,2025-02-18 03:14:00+00:00,2025-02-18 03:12:00+00:00,151.619,0.0
237,2025-02-18 03:24:00+00:00,2025-02-18 03:19:00+00:00,151.791,1.0
238,2025-02-18 03:28:00+00:00,2025-02-18 03:27:00+00:00,151.725,0.0
239,2025-02-18 03:32:00+00:00,2025-02-18 03:32:00+00:00,151.79,1.0
240,2025-02-18 03:34:00+00:00,2025-02-18 03:33:00+00:00,151.733,0.0
241,2025-02-18 03:39:00+00:00,2025-02-18 03:36:00+00:00,151.799,1.0
242,2025-02-18 03:45:00+00:00,2025-02-18 03:43:00+00:00,151.708,0.0
243,2025-02-18 03:48:00+00:00,2025-02-18 03:46:00+00:00,151.77,1.0
244,2025-02-18 03:55:00+00:00,2025-02-18 03:51:00+00:00,151.683,0.0
245,2025-02-18 04:01:00+00:00,2025-02-18 04:00:00+00:00,151.759,1.0
246,2025-02-18 04:05:00+00:00,2025-02-18 04:01:00+00:00,151.69,0.0
247,2025-02-18 04:10:00+00:00,2025-02-18 04:06:00+00:00,151.787,1.0
248,2025-02-18 04:21:00+00:00,2025-02-18 04:15:00+00:00,151.712,0.0
249,2025-02-18 04:30:00+00:00,2025-02-18 04:27:00+00:00,151.829,1.0
250,2025-02-18 04:34:00+00:00,2025-02-18 04:31:00+00:00,151.797,0.0
251,2025-02-18 04:47:00+00:00,2025-02-18 04:39:00+00:00,151.854,1.0
252,2025-02-18 04:56:00+00:00,2025-02-18 04:52:00+00:00,151.782,0.0
253,2025-02-18 05:02:00+00:00,2025-02-18 04:59:00+00:00,151.847,1.0
254,2025-02-18 05:05:00+00:00,2025-02-18 05:02:00+00:00,151.797,0.0
255,2025-02-18 05:21:00+00:00,2025-02-18 05:18:00+00:00,151.983,1.0
256,2025-02-18 05:26:00+00:00,2025-02-18 05:25:00+00:00,151.923,0.0
257,2025-02-18 05:29:00+00:00,2025-02-18 05:27:00+00:00,151.955,1.0
258,2025-02-18 05:35:00+00:00,2025-02-18 05:33:00+00:00,151.859,0.0
259,2025-02-18 05:39:00+00:00,2025-02-18 05:36:00+00:00,151.93,1.0
260,2025-02-18 05:41:00+00:00,2025-02-18 05:39:00+00:00,151.885,0.0
261,2025-02-18 05:48:00+00:00,2025-02-18 05:45:00+00:00,152.03,1.0
262,2025-02-18 05:51:00+00:00,2025-02-18 05:48:00+00:00,151.987,0.0
263,2025-02-18 06:04:00+00:00,2025-02-18 06:01:00+00:00,152.148,1.0
264,2025-02-18 06:08:00+00:00,2025-02-18 06:04:00+00:00,152.069,0.0
265,2025-02-18 06:12:00+00:00,2025-02-18 06:09:00+00:00,152.123,1.0
266,2025-02-18 06:14:00+00:00,2025-02-18 06:13:00+00:00,152.069,0.0
267,2025-02-18 06:17:00+00:00,2025-02-18 06:14:00+00:00,152.109,1.0
268,2025-02-18 06:26:00+00:00,2025-02-18 06:25:00+00:00,152.049,0.0
269,2025-02-18 06:30:00+00:00,2025-02-18 06:27:00+00:00,152.09,1.0
270,2025-02-18 06:32:00+00:00,2025-02-18 06:30:00+00:00,152.039,0.0
271,2025-02-18 06:39:00+00:00,2025-02-18 06:37:00+00:00,152.161,1.0
272,2025-02-18 06:41:00+00:00,2025-02-18 06:40:00+00:00,152.108,0.0
273,2025-02-18 06:50:00+00:00,2025-02-18 06:46:00+00:00,152.198,1.0
274,2025-02-18 07:00:00+00:00,2025-02-18 06:57:00+00:00,152.136,0.0
